sound	source	issue	date	page
KLINK GALINK	INSERTING COINS INTO MACHINE	199	JUN 1978	PAGE 48
KLINK GALINK	MAN PUTTING MONEY INTO VENDING MACHINE	207	JUN 1979	PAGE 48
KLINK GLINK	MAN PUTTING MONEY INTO VENDING MACHINE	202	OCT 1978	PAGE 42
KLINK GLINK GLUNK	DUTCH BOY PUTTING MONEY INTO VENDING MACHINE	204	JAN 1979	PAGE 39
KLINK KLINK KLINK KLINK	PRISONER CHIPPING OUT PRISON CELL BRICK	176	JULY 1975	PAGE 14
KLINK KLUNK GADINK	MONEY BEING INSERTED INTO VENDING MACHINE	192	JUL 1977	PAGE 11
KLINK! KLINK! KLINK!	SAFECRACKERS	59	DECEMBER 1960	PAGE 15
KLINKADINK	COIN BEING DEPOSITED IN A  TELL YOUR FORTUNE MACHINE	252	JAN 1985	PAGE 48
KLOINK	DRACULA CRASHING INTO A STATUE	213	MARCH 1980	PAGE 16
KLOMP	SQUASHED INDIAN FALLING OUT OF A TEE PEE	61	MARCH 1961	PAGE 48
KLOMP	BUTLER FALLING FROM CEILING	69	MARCH 1962	PAGE 26
KLOMP	SPIDERMAN CRASHING INTO A BUILDING	212	JAN 1980	PAGE 13
KLONK	COP GETTING HIT IN WITH PIPE	101	MAR 66	PAGE 48
KLOOBADA DOOBADA KLOOBADA DOOBADA	CLARK KENT CHANGING TO SUPERMAN IN A WASHING MACHINE BECAUSE THE PHONE BOOTH WAS BUSY	210	OCT 1979	PAGE 22
KLOON	AIRBOAT	122	OCTOBER 1968	PAGE 9
KLOON	ROCK AGAINST HEAD	153	SEP 1972	PAGE 18
KLOONK KA- DOONK	BLIND MAN AND SEEING EYE DOG WALKING INTO POLE	181	MAR 1976	PAGE 15
KLOOONN	SAFE DOOR FALLING ON A BANK ROBBER	222	APRIL 1981	PAGE 48
KLUK GAZOONT BLAM BLAM	AUTOMATIC PEST KILLER SHOOTING WOMAN	199	JUN 1978	PAGE 48
KLUK KLUK KLUK KLUK	MAN DRINKING MOONSHINE	133	MARCH 1970	PAGE 44
KLUMP	WARDEN TAME RUNNING	122	OCTOBER 1968	PAGE 9
KLUMP KLUMP KLUMP KLUMP KLUMP KLUMP KLUMP KLUMP	BARTENDER RUNNING ACROSS THE FLOOR	206	APR 1979	BACK COVER
KLUNK	HORSE TRIPPING ON ROCK	127	JUNE 1969	INSIDE FRONT COVER
KLUNK	STICK FALLING ON GROUND	146	OCT 1971	PAGE 21
KLUNK	CAR HITTING BUS	198	APR 1978	BACK COVER
KLUNK	MAN'S HEAD HITTING A SIDEWALK	203	DEC 1978	PAGE 11
KLUNK	CAN OF SPINACH FALLING ON FLOOR	224	JULY 1981	PAGE 14
KLUPADA KLUPADA	GALLOPING HORSE	257	SEPT 1985	PAGE 42
KNOCK KNOCK KNOCK	SOMEONE KNOCKING ON A DOOR	194	OCT 1977	BACK COVER
KOOKOOK KOOKOOK	MAN IN A DAZE AFTER HAVING TOOTHED KNOCKED BACK INTO PLACE	86	APRIL 1964	PAGE 36
KOONG	MAN GETTING HIT IN HEAD WITH WHEELBARROW FULL OF CEMENT	110	APR 67	PAGE 42
KOPF GAHOFF PUFF KAPF	MAN COMING UP FOR AIR IN DIKE	184	JUL 1976	PAGE 48
KRAK	DEMOLITION WRECKING BALL SWINGING INTO PEDESTRIAN'S HEAD	70	APRIL 1962	PAGE 37
KRAK	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
KRAK	LARGE ROCK AGAINST STOUT STICK	153	SEP 1972	PAGE 18
KRAK	GORILLA ADJUSTING BABY' TARZAN'S BACK	250	OCT 1984	PAGE 12
KRAK	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
KRAKKLE KRAK	CASEY CRACKING HIS KNUCKLES	258	OCT 1985	PAGE 30
KRAKLE	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
KRASH	FROZEN PATIENT BREAKING INTO BITS OF ICE ON FLOOR	73	SEPTEMBER 1962	PAGE 17
KRASH	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
KRASH	ROCK HITTING GROUND	188	JAN 1977	PAGE 21
KREEK KREEK	CLOTHES LINE BEING PULLED	232	JULY 1982	PAGE 29
KREEK KREEK CLANK CLANK	PHANTOM YACHT ADRIFT AT SEA	99	DEC 1965	PAGE 43
KRIDIT-KRIDIT	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
KRIK	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
KRIK-KRIKIT	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
KRUGAZUNCH	TWO LIFEBOATS COLLIDING	259	DEC 1985	PAGE 9
KRUNCH	CRACKING NUTS	158	APR 1973	PAGE 19
KRUNCH	CAPT. KIRK BREAKING OFF ONE OF THE ARMS TO HIS CHAIR ON THE BRIDGE	251	DEC 1984	PAGE 32
KRUNCH KRAK KRARKLE CHOMP	MAN CHEWING GLASS	168	JULY 1974	PAGE 34
KRUNCHLE KRAKLE SHKLINK SKROTCH	MAN CHEWING GLASS	168	JULY 1974	PAGE 34
KSSHFWOOM	PARACHUTER CRASHING THROUGH BUILDING ROOF	230	APRIL 1982	PAGE 9
KSSSH	BARBER CHAIR GOING THROUGH ROOF WITH MAN IN IT	103	JUN 66	PAGE 13
KUK	MAN CHOKING	268	JANUARY 1987	PAGE 42
KWAPP!	BOXER HITTING PUNCHING A GUY'S HEAD (APPEARS TO BE PUNCHING BAG)	187	DEC 1976	PAGE 18
KWEEE	MAN'S HAIR STANDING ON END	201	SEP 1978	PAGE 15
KWEEK! KWEEK!	NOSTRILS FLARING	98	OCT 1965	PAGE 28
KWOIP	POPEYE'S OTHER EYE POPPING OUT	210	OCT 1979	PAGE 21
KWONG	MAN BEING HIT IN EYE FROM WRECKING BALL	214	APRIL 1980	PAGE 13
KWONK	MAN BEING HIT ON HEAD WITH STICK	197	MAR 1978	PAGE 11
KWONK	MARY WORTH GETTING PUNCHED OUT FOR NOT MINDING HER OWN BUSINESS	210	OCT 1979	PAGE 21
KWOP	WOMAN CATCHING BOUQET	265	SEPTEMBER 1986	PAGE 33
LAFLATCH	HUMAN ORGAN MUSIC	273	SEPTEMBER 1987	PAGE 13
LEDDLE	HUMAN ORGAN MUSIC	273	SEPTEMBER 1987	PAGE 13
MAMP,SPWAT,TOK	CANNIBALS PELTING EACH OTHER WITH HUMAN BODY PARTS	242	 OCT 1983	PAGE 35
MAP-MAP	ANT BOXING COWS UDDER	101	MAR 66	PAGE 26
MCPWAF	SUPERMAN TRYING TO CATCH A SAFE LOADED WITH KRYPTONITE	210	OCT 1979	PAGE 20
MMMMM... SMACK	WOMAN KISSES COOKED FROG LEG	167	JUNE 1974	PAGE 19
MMMMMMMM	TAPE MEASURE RETURNING	156	JAN 1973	PAGE 19
MMMP, AARH, GA-SHLOIP	LUKE REMOVING HIS MASK	243	DEC 1983	PAGE 41
MMP ARG ECK	MAN TIED UP STRUGGLING TO PHONE	193	SEP 1977	PAGE 11
MMP!	GAGGED MAN TRYING TO TALK	272	JULY 1987	PAGE 43
MMPH!	GAGGED MAN TRYING TO TALK	272	JULY 1987	PAGE 43
MOWM	ATOMIC BLAST	238	APRIL 1983	PAGE 15
MUFFLE	INDIAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
NNYEEOWNNT	HAGER THE HORRIBLE SITTING ON HIS VIKING HELMET	210	OCT 1979	PAGE 22
NOK NOK NOK NOK	SALESMAN KNOCKING ON A DOOR	218	OCT 1980	PAGE 39
NOT-A-SOUND	INDIAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
OGGOCK	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
OGH!	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
ONNNNNGHK FWEEEEEEEEE	HUSBAND SNOREING	106	OCT 66	PAGE 13
OOF!	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
OOGA	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
OOH	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
OOMP DOOMP	MEATBALL BOUNCING	88	JULY 1964	PAGE 8
OONK OONK BLEEP	BUSY CITY HORNS	164	JAN 1974	PAGE 33
OOOH	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
OOOKK! AWK!	MAN HAVING HEART ATTACK	53	MARCH 1960	PAGE 48
OOOOOOIIIIIIYYYYY!	SANTA CLAUS MOANING	132	JANUARY 1970	PAGE 33
OOT	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
PADAP PADAP PADAP, KADOONK	PRIZON GUARD DRIBBLING THEN SLAM DUNKING MEATLOAF INTO A PRIZONER'S MOUTH	249	SEPT 1984	BACK COVER
PAF	CIGAR EXPLODING IN MENDICANT'S FACE	71	JUNE 1962	PAGE 26
PAF	FROG BECOMING PRINCE	91	DEC 1964	PAGE 19
PAF	FROG LEGS MATERIALIZING INTO HUMAN LEGS	167	JUNE 1974	PAGE 19
PAF	FROG BECOMING PRINCE	177	SEPT 1975	INSIDE FRONT COVER
PAF	FROG TURNING INTO PRINCE	180	JAN 1976	INSIDE FRONT COVER
PAF	FROG TURNING INTO A PRINCE	196	JAN 1978	BACK COVER
PAF	FROG TURNING INTO A PRINCE	200	JUL 1978	BACK COVER
PAF	PRINCE TURNING INTO A FROG	200	JUL 1978	BACK COVER
PAF	FROG TURNING INTO A PRINCE	202	OCT 1978	BACK COVER
PAF	MAN CHANGING INTO A WOMAN	208	JUL 1979	PAGE 42
PAF	BAT TURNING INTO DRACULA	213	MARCH 1980	PAGE 14
PAF	FRONG TURNING INTO A PRINCE	220	JAN 1981	BACK COVER
PAF	FROG TURNING INTO A HANDSOME PRINCE	247	JUNE 1984	BACK COVER
PAF TOOONG	FROG TURNING INTO PRINCE WHILE HITTING HEAD ON GATE	185	SEPT 1976	INSIDE FRONT COVER
PAK POW	COUGHING TRUCK ENGINE	95	JUNE 1965	PAGE 29
PAM	HITCHHIKER SELF INFLATING SELF UNTIL HE BURSTS	69	MARCH 1962	PAGE 48
PAT PAT PAT PAT	MOTHER PATTING A BABY'S HEAD	187	DEC 1976	PAGE 11
PAT PAT PAT PAT	BABY PATTING A RATTLE	187	DEC 1976	PAGE 11
PATWANG, FWEEEE	BRANCH SPRINGING BACK, THEN  FLINGING BABY TARZAN AWAY	250	OCT 1984	PAGE 13
PATWEEEE	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
PBLRBLPSFT	THE KING OF ID RECEIVING AN OVATION FROM HIS SUBJECTS	210	OCT 1979	PAGE 21
PFFFT-FRACK!	WILD GAME CALL	127	JUNE 1969	PAGE 17
PFFFT-FRACK!	STRANGE BIRD	127	JUNE 1969	PAGE 17
PFLAP	WOMAN HOLDING PAPER	119	JUN 68	PAGE 48
PHLAKFFA	HUMAN ORGAN MUSIC	273	SEPTEMBER 1987	PAGE 13
PHOOM	KING KONG STEPPING INTO A TRAIN CAR	262	APRIL 1986	PAGE 23
PHOON	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
PHOOO PHOOO	INDIAN BLOWING ONTO FIRE	181	MAR 1976	PAGE 48
PHWAM	MAN SLAMMING RECEIVER ON TELEPHONE	266	OCTOBER 1986	PAGE 9
PIK PIK PIK	MAN KNOTCHING DOOR FRAME	216	JULY 1980	PAGE 17
PING (18 TIMES OVER FOUR PANELS)	PIMPLES POPPING	167	JUNE 1974	PAGE 48
PING THWAP	AN EXTENSION ARM LAUNCHED BOXING GLOVE HITTING A DOCTOR IN THE FACE	70	APRIL 1962	PAGE 9
PINK	JANE FLICKING AWAY BUG FROM HER HAIR	228	JAN 1982	PAGE 10
PITOOIE	WOMAN SPITTING OUT BIRD CALL	217	SEPT 1980	PAGE 42
PITTOO TFFP THOOO THAFF PITTOOIE	SEVERAL PEOPLE SPITTING	184	JUL 1976	PAGE 16
PITTOOIE	GIANT MAN SPITTING OUT BONE	172	JAN 1975	PAGE 29
PITTWEEN SPLATCH THORK BLOOF THLIK GLITCH GLUTCH PITTWOON PLAF PLOOF SPLITCH THUK THAP PLOOP	BULLET RICHOCHEYING OFF CEILING, THROUGH SIX HEADS, OFF A WALL, THEN THROUGH SIX MORE HEADS	189	MAR 1977	PAGE 11
PLABLABLABLAB	THE BATMOBILE WITH A FLAT TIRE	210	OCT 1979	PAGE 21
PLABLABLABLABL	BUCKET ROPE RELEASING	98	OCT 1965	PAGE 12
PLAK	TEETH HITTING GREEN	125	MARCH 1969	PAGE 13
PLAK DAK THUK FRIT	MAN FOLDING BEACH CHAIR	144	JUL 1971	PAGE 23
PLAM	SOMEONE SHOOTING THEMSELVES	256	JULY 1985	PAGE 42
PLAM	RIFLE	264	JULY 1986	PAGE 13
PLAM	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
PLAM PLAM	GUN FIRING	97	SEPT 1965	PAGE 48
PLAP	AN EXTENSION ARM LAUNCHED BOXING GLOVE HITTING A DOCTOR IN THE FACE	70	APRIL 1962	PAGE 9
PLAP	ROBIN HOOD HITTING OPPOSITE SIDE OF A STREAM WITH A STICK	71	JUNE 1962	PAGE 28
PLAP PLAP PLAP PLAP	GENTEEL BEN'S WINDOW SHADE SKIN FLAP	122	OCTOBER 1968	PAGE 11
PLAPF	MAN ESCAPING FROM THE DUNGEON	261	MARCH 1986	PAGE 42
PLINK (8 TIMES)	BRICKLAYERS STACKING BRICKS	106	OCT 66	PAGE 48
PLINK PLINK	A QUARTER BEING BOUNCED ON THE GROUND	246	APRIL 1984	PAGE 17
PLINK PLINK PLONK	MAN PICKING TIN CANS FROM PILE	115	DEC 67	PAGE 13
PLOIP	DOCTOR PULLING KIDNEY OUT OF BODY	131	DECEMBER 1969	PAGE 26
PLOIP	MAN PULLING BIRD OUT OF HIS MOUTH	217	SEPT 1980	PAGE 42
PLOIP!	REMOVING MASK	154	OCT 1972	PAGE 21
PLOOM	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
PLOOMPLOOMPLOOM	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
PLOOSH FLAPF	BLOWING KISS PARTIALLY BLOCKED BY FOOD	95	JUNE 1965	PAGE 28
PLOP	BOWL BEING PLACED ON MAN'S HEAD	81	SEPT 1963	PAGE 48
PLOP	FLYING HAT LANDING ON GROUND	177	SEPT 1975	PAGE 14
PLOP	A HAT THROWN DOWN ON THE GROUND	246	APRIL 1984	PAGE 28
PLOP PHELOP	PEOPLE DROPING FROM SMELL OF GENERAL'S ARMPITS	204	JAN 1979	PAGE 17
PLORK	BIRD FEEDING A BABY BIRD	211	DEC 1979	PAGE 23
PLORK BLUT	BULLETS HITTING YECCH MONSTER	164	JAN 1974	PAGE 30
PLORTCH	SWORD BEING PUSHED INTO SIR ALBERT'S BUTT	227	DEC 1981	PAGE 25
PLUNK	GENTEEL BEN PUSHING HIS BELLY BUTTON	122	OCTOBER 1968	PAGE 11
PLUNK	MAN PUTTING CLAM IN POCKET	130	OCTOBER 1969	PAGE 10
PLUNK	PATIENT GETTING GASSED	110	APR 67	PAGE 10
PLUNK (4 TIMES)	BRICKLAYERS STACKING BRICKS	106	OCT 66	PAGE 48
PLUNK SPLOOSH SPLASH	COIN HITTING WATER IN WISHING WELL	131	DECEMBER 1969	PAGE 8
PLURP	BUCKET RAISING OUT OF WELL WATER	98	OCT 1965	PAGE 12
POFFISSS	STICKING PIN INTO INFLATABLE PLASTIC HUMAN	189	MAR 1977	PAGE 42
POING	BELT UNDOING AS BUCKLE POPS OFF	77	MARCH 1963	PAGE 35
POING	FLARE GUN	215	JUNE 1980	PAGE 39
POING GEEN GEEN	FLARE GUN FROM A SHIP	215	JUNE 1980	PAGE 39
POING POING POING	POGO STICK	67	DECEMBER 1961	PAGE 8
POING THUK!	FRIAR TUCK SHOT IN THE HEAD BY AN ARROW	71	JUNE 1962	PAGE 25
POING THUK! PINK	SHOOTING MESSAGES BY ARROW AND BOW STRING SNAPS	71	JUNE 1962	PAGE 25
POING!	HORSE JUMPING	56	JULY 1960	PAGE 48
POINK	PIN PLUCKING FROM PIN CUSHION	91	DEC 1964	PAGE 26
POINK	BARBER CHAIR LEVER BEING PULLED	103	JUN 66	PAGE 13
POINK	FRAME GETTING PULLED OFF THE WALL	122	OCTOBER 1968	PAGE 11
POINK!	DART HITTING BOY'S FOREHEAD	59	DECEMBER 1960	PAGE 48
POIT	ROBINSON CRUSOE PULLING A SEA SHELL OUT OF HIS EAR	75	DECEMBER 1962	PAGE 27
POIT	LARGE BOOB POPS OUT OF BRA	SPECIAL #23	1977	BONUS INSERT STICKERS
POIT	EYE BEING RELEASED FROM VACUUM	89	SEPT 1964	PAGE 48
POIT	KID PULLING EARPHONE OUT OF EAR	114	OCT 67	PAGE 9
POIT	REMOVING CORK FROM BOTTLE	183	JUN 1976	PAGE 42
POIT!	WOMAN PULLING COAT HANGER OUT OF MAN'S MOUTH	52	JANUARY 1960	PAGE 48
POIT!	FAT WOMAN'S BOTTOM DISLODGING FROM ESCALATOR TOP STEP AND RAIL	68	JANUARY 1962	PAGE 44
POIT, DOIT DIT	THREE NEWSANCHOR'S TAKING THEIR EARPIECES OUT	254	APRIL 1985	PAGE 36
POP	MAN USING ANOTHER MAN'S NOSE AS A BOTTLE OPENER	54	APRIL 1960	PAGE 48
POP	DREAM BALLOON POPPING	84	JAN 1964	PAGE 14
POP	SPY PULLING POISON PIN FROM CIGARETTE	106	OCT 66	PAGE 24
POP!	VIDEO GAME GUN FIREING	148	JAN 1972	PAGE 18
POP---SPROING-GING	WILD GAME CALL	127	JUNE 1969	PAGE 17
POP---SPROING-GING	STRANGE BIRD	127	JUNE 1969	PAGE 17
POW	MOTORCYCLE JUMPING RAMP	185	SEPT 1976	PAGE 12
PRAWK!!!	GAGGED MAN TRYING TO TALK	272	JULY 1987	PAGE 43
PSSSH	VERY LARGE SPRAY CAN EMITTING GAS	180	JAN 1976	PAGE 22
PUTT	AIRBOAT	122	OCTOBER 1968	PAGE 9
PWADAK	SKATEBOARD CRASHING	274	OCTOBER 1987	PAGE 12
PWAM	ATOMIC BLAST FROM HUNDREDS OF MILES AWAY	238	APRIL 1983	PAGE 14
PWANG	FRYING PAN BOUNCES OFF AND FLATTENS FACE	SPECIAL #23	1977	BONUS INSERT STICKERS
PWEEN	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
PWOF	PARACHUTE	267	DECEMBER 1986	PAGE 48
PWOING	WOMAN'S LEG, TIED TO AN ANVIL, BEING STRETCHED	78	APRIL 1963	PAGE 13
PWOK	MONKEY BEING HIT ON THE HEAD WITH A ROCK	250	OCT 1984	PAGE 12
PWOMPF	BLOCK OF DUNGEON WALL AND PRISONER FALLING TO GROUND	223	JUNE 1981	BACK COVER
QUACK-QUACK QUACK QUACK	DUCK	127	JUNE 1969	PAGE 17
QUACK-QUACK QUACK-QUACK	WILD GAME CALL	127	JUNE 1969	PAGE 17
QUIET	INDIAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
QWACK WAAK WAAK	DUCK	141	MAR 1971	PAGE 39
RAH-OOOM	CAR SPEEDING AWAY	93	MAR 1965	PAGE 7
RATTLE	MAN ESCAPING FROM THE DUNGEON	261	MARCH 1986	PAGE 42
RAWGH	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
RIP	HUMAN PHONE BOOK TEARING IN HALF	92	JAN 1965	PAGE 14
RIP	CIVIL WAR RANK PATCH TORN FROM UNIFORM	163	DEC 1973	PAGE 21
RIP	KING KONG RIPPING POSTS FROM PLATFORM	192	JUL 1977	PAGE 33
RIP	TARZAN LOSING LOIN CLOTH ON TREE BRANCH	211	DEC 1979	BACK COVER
RIP	SPIDERMAN RIPPING COSTUME	212	JAN 1980	PAGE 14
RIP RIP	MAN TURNING INTO A WEREWOLF	263	JUNE 1986	PAGE 12
RIP SLICE SHNIKKLE HAK	SURGERY	131	DECEMBER 1969	PAGE 26
RIP TEAR	BANNER TURNING INTO THE HULK	221	MARCH 1981	PAGE 16
RIP TEAR ARRGH GARRGH	BANNER TURNING INTO THE HULK	221	MARCH 1981	PAGE 14
RIPF	PARACHUTING FALLING	128	JULY 1969	PAGE 11
ROWM	TRUCK TAKING OFF QUICKLY	196	JAN 1978	PAGE 25
RRIP	TEARING MAGIC CARPET	161	SEPT 1973	PAGE 21
RRRRR	POLICE CAR SIREN	95	JUNE 1965	PAGE 30
RRRRREERRR	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
RRRRRR	AMBULANCE SIREN	180	JAN 1976	PAGE 21
RUMBLE ROR FAGLORK SWOOSH	MOSES PARTS THE RED SEA	186	OCT 1976	PAGE 16
RUMBLE RUMBLE	FALLING ROCK	188	JAN 1977	PAGE 21
RUMBLE UMBLE RUMBLE	THUNDER STORM	195	DEC 1977	PAGE 47
RUMBOOM-BLOOMA DOOM BOOMA-ROOMBA	CHICKEN NESTS BOUNCING AROUND	103	JUN 66	PAGE 34
SAZZIKK	MAN DIALING TELEPHONE WITH HIS NOSE	272	JULY 1987	PAGE 43
SCHKLURT	PIZZA SPRINGING INTO FACE	88	JULY 1964	PAGE 9
SCHLAP	PATIENT'S HEAD BEING RETRACTED INTO SHOULDER	73	SEPTEMBER 1962	PAGE 14
SCHLEP	PATIENT'S ARM BEING RETRACTED INTO SHOULDER	73	SEPTEMBER 1962	PAGE 14
SCHLIP	PATIENT'S LEG BEING RETRACTED INTO HIP	73	SEPTEMBER 1962	PAGE 14
SCHLIT	WATER SPRAYING OUT OF PHONE	84	JAN 1964	PAGE 48
SCHLOOP	PATIENT'S ARM BEING RETRACTED INTO SHOULDER	73	SEPTEMBER 1962	PAGE 14
SCHLOOT	FLATTENED HUMAN BODY FOLDING	92	JAN 1965	PAGE 13
SCRAPE SCRAPE SCRAPE	HIPPIE SCRAPING BANANA PEEL INTO FRYPAN	116	JAN 68	PAGE 13
SHHH	INDIAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
SHIF-SHAF SHABAMP MAMP SHOMPAH-BOMBAH DIMPAH MIMPAH FOMP-DABOMP! GADIFF-GADIFF GADAFF GADAFF GASMITCH GASMATCH KABOFF FAPADDA DAPADDA SWIPADDA DIPADDA FAP SPMAP GAMOP	PAIR OF DANCING SHOES AT A THEATRICAL SHOP	220	JAN 1981	PAGE 15
SHIK SHIK	MAN SHAVING	265	SEPTEMBER 1986	PAGE 32
SHIKA SHIKA SHIKA	MAN SCRATCHING BACK	118	APR 68	PAGE 48
SHIKA SHIKA SHIKA	JANE SCRATCHING HER HEAD	228	JAN 1982	PAGE 10
SHIKA-SHIKA SHIKA-SHIKA	RUBBING TWO STICKER TOGETHER TO MAKE FIRE	217	SEPT 1980	PAGE 17
SHKALINK SHKALOINK SHKALINK SHKALOINK	NURSE MILKING BLOOD FROM MAN'S FINGERS	199	JUN 1978	PAGE 31
SHKLAZITCH YARG!	ALLEY OOP GETTING IN THE WAY OF HIS PET DINOSAUR	210	OCT 1979	PAGE 22
SHKLIK	FLOWER SQUIRTING WATER INTO MAN'S EYE	125	MARCH 1969	PAGE 48
SHKLIK	HEART POPPING OUT OF BODY	151	JUN 1972	PAGE 31
SHKLIK SHKLIK SHKLIK SHLIKLE SHLAK SKLIK SKLUSH SHKLAKLE SPLAK	MAN APPLYING GLUE TO WALLPAPER	112	JULY 67	PAGE 32
SHKLIKSA!	CLAM SQUIRTING MAN IN FACE	130	OCTOBER 1969	PAGE 10
SHKLITZA	DOCTOR GETTING SQUIRTED IN FACE BY TRICK FLOWER	110	APR 67	PAGE 10
SHKLITZA	FLOWER SQUIRTING WATER IN MAN'S FACE	138	OCTOBER 1970	PAGE 35
SHKLIZICH!	FLOWER SQUIRTING MAN	130	OCTOBER 1969	PAGE 10
SHKLIZORTCH	WATER SQUIRTING OUT OF A TELEPHONE HANDSET	231	JUNE 1982	PAGE 31
SHKLIZZITZ	DOCTORS OPERATING OF A PERSON	231	JUNE 1982	BACK COVER
SHKLIZZORTCH	ENTERPRISE BEING HIT BY EXCREMENT FROM A KLINGON (BIRD LOOKING) SHIP	251	DEC 1984	PAGE 31
SHKLOORT THURCH	SCULPTOR MOLDING CLAY	229	MARCH 1982	PAGE 11
SHKLOP	HEART BOUNCING ON FLOOR	151	JUN 1972	PAGE 31
SHKLORBBADORP	MAN HITTING WET CEMENT	274	OCTOBER 1987	PAGE 12
SHKLORP	KONG PULLING SHIP OUT OF THE OCEAN	140	JANUARY 1971	PAGE 11
SHKLORP	SHIP BEING PULLED FROM WATER BY KING KONG	140	JAN 1971	PAGE 11
SHKLURCH	HIPPIE SQUEEZING FOOD OUT OF BEARD	139	DECEMBER 1970	PAGE 48
SHKLURK	MAN GRABBING CLAM	130	OCTOBER 1969	PAGE 10
SHKWITZ SHKWITZ	MAN CLEANING EYEGLASSES	134	APRIL 1970	PAGE 11
SHLOOK	PRINCESS KISSING FROG	91	DEC 1964	PAGE 19
SHLORP	MAN EATING	268	JANUARY 1987	PAGE 42
SHLURK SHLORK MMM-SHLURK GURGLE AHHH-GLUKLE GLIK ...	MEN DRINKING FROM STEW POT WITH HUMAN HEAD IN IT	113	SEPT 67	PAGE 39
SHMUZORFT	CROCK PEELING OFF HIS SOCKS AFTER A 20-MILE HIKE IN THE DESERT	210	OCT 1979	PAGE 20
SHNIP SHNIP SHNIP SHNIP	DOCTOR CUTTING PATIENT AND NURSE OUT OF BODY CAST	104	JULY 66	PAGE 42
SHNORKLE	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SHOOGA SHIK	TELEPHONE MOVING	272	JULY 1987	PAGE 43
SHOOK	SUBWAY TRAIN DOOR OPENING	100	JAN 66	PAGE 48
SHOOK SHOOK	PRISONER PUSHING LOOSENED CELL BRICK ALONG FLOOR	176	JULY 1975	PAGE 15
SHOOK SHOOK SHOOK SHOOK SHOOK	PRINCE CLIMBING RAPUNZEL'S HAIR	129	SEPTEMBER 1969	PAGE 13
SHOOK SHOOK SHOOK SHOOK SHOOK	PRINCE CLIMBING RAPUNZEL'S HAIR	129	SEPTEMBER 1969	INSIDE FRONT COVER
SHOOK SHOOK SHOOK SHOOK SHOOK SHOOK SHOOK	PRINCE CLIMBING RAPUNZEL'S HAIR	129	SEPTEMBER 1969	PAGE 38
SHOOKA SHOOKA SHOOKA	PRISON GUARD SHAKING A SPRAY CAN	223	JUNE 1981	PAGE 48
SHOOO	SPEAR	44	JANUARY 1959	PAGE 17
SHPLEP	SPIDERMAN'S WEB SHOOTING OUT	212	JAN 1980	PAGE 12
SHPLIPLE DROOT GLORT	MAN EATING SOUP	161	SEPT 1973	PAGE 48
SHPLOIP	CHICKEN BLASTING OUT OF NEST AND FEATHERS	103	JUN 66	PAGE 34
SHPOOOSH HELP! FAGWASSHHHH HELP! HELP! GLUKKLE-GLUK!	A SEA SHELL	226	OCT 1981	PAGE 14
SHPORK	BRIDE AND GROOM FIGHTING	265	SEPTEMBER 1986	PAGE 32
SHTIK SHTIK SHTIK	KING KONG CLEANING BODY PARTS OUT OF HIS TOES WITH A TRAFFIC SIGNAL	262	APRIL 1986	PAGE 23
SHTOINK	BATH TOWEL BAR POKES EYE	SPECIAL #23	1977	BONUS INSERT STICKERS
SHTOINK SHTOINK SHTOINK SHTOINK	NURSE PRICKING MAN'S FINGERS WITH SYRINGE	199	JUN 1978	PAGE 31
