sound	source	issue	date	page
CHOP-CHOP	SCOUT HITTING TREE WITH AX	131	DECEMBER 1969	PAGE 48
CHUCKLE	LAUGHTER	261	MARCH 1986	PAGE 42
CHUGA CHUGA CHUGA CHUGA	STEAM ROLLER	140	JANUARY 1971	PAGE 31
CHUGA CHUGA CHUGA CHUGA	STEAMROLLER	140	JAN 1971	PAGE 31
CHUNK	NURSE POKING I.V. IN PATIENTS ARM	104	JULY 66	PAGE 25
CHUNK	BIRD STABBING WORM WITH FORK	147	DEC 1971	PAGE 11
CHUNK-KASHINK	SHOVEL	261	MARCH 1986	PAGE 9
CLACK CLACK CLATTER CLATTER	MAN'S BONES BREAKING	56	JULY 1960	PAGE 13
CLANG	STIFF SPAGHETTI BANGING INTO COOK'S FACE	88	JULY 1964	PAGE 9
CLANG CLANG CLANG	SAFECRACKERS	59	DECEMBER 1960	PAGE 15
CLAP CLAP CLAP CLAP CLAP	AUDIENCE CLAPPING	81	SEPT 1963	PAGE 11
CLAP CLAP CLAP CLAP CLAP CLAP CLAP CLAP CLAP	AUDIENCE CLAPPING	187	DEC 1976	PAGE 42
CLAP CLAP CLAP CLAP CLAP CLAP CLAP CLAP CLAP CLAP	AUDIENCE CLAPPING	189	MAR 1977	PAGE 42
CLAP CLAP!	APPLAUSE	55	JUNE 1960	PAGE 8
CLAP-CLAP CLAP-CLAP	PRISONERS APPLAUDING CHEF	67	DECEMBER 1961	PAGE 48
CLATTA CAK CLAKA	CHICKEN LAYING EGG	103	JUN 66	PAGE 34
CLATTER	TEETH HITTING GREEN	125	MARCH 1969	PAGE 13
CLICK	BRAIN LIGHT BULB BEING TURNED ON	81	SEPT 1963	PAGE 24
CLICK!	A PHOTOGRAPHER TAKING A PICTURE	80	JULY 1963	PAGE 10
CLIK CLIK	RUNNING DOWN CONCRETE STEPS	93	MAR 1965	PAGE 7
CLIK CLIK	CHICKEN JUMPING INTO NEST	103	JUN 66	PAGE 34
CLIK KLAK	KEY OPENING STEAM CABINET	123	DECEMBER 1968	PAGE 29
CLIK RRROOOOM	ELECTRIC FAN BEING TURNED ON	113	SEPT 67	PAGE 17
CLIK-CLIK-CLIK-CLIK	RUNNING UP CONCRETE STEPS	93	MAR 1965	PAGE 7
CLINK	SCULPTOR CHISELING PIECE OF BLOCK	108	JAN 67	PAGE 9
CLINK CLOINK BZZT	PUTTING MONEY IN VEND-O-HAIR MACHINE	143	JUN 1971	PAGE 15
CLIP-CLAP CLIP-CLAP CLIP-CLAP	DRACULA RUNNING DOWN A PATH	213	MARCH 1980	PAGE 14
CLOMP CLOMP CLOMP CLOMP	LADY RUNNING DOWN A PATH	213	MARCH 1980	PAGE 14
CLONK!	MAN'S HEAD FLATTENED BETWEEN LOG AND ROMAN MARBLE COLUMN	64	JULY 1961	PAGE 15
CRASH	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
CRASH BASH RIP GAZAP	PAY PHONE BEING ASSAULTED	190	APR 1977	PAGE 13
CRUGAZUNCH	TWO CARS COLLIDING	256	JULY 1985	PAGE 42
CRUNCH	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
CRUNCH	SIGN HITTING GROUND	139	DECEMBER 1970	PAGE 15
CRUNCHLE	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
DANG	DENTIST KNOCKING EXTENDED TOOTH BACK INTO PLACE	86	APRIL 1964	PAGE 36
DANG DANG DANG DANG DANG DANG DANG DANG DANG	POLICE OR FIRE SIREN	215	JUNE 1980	BACK COVER
DIG DIG DIG DIG DIG	MAN DIGGING	130	OCTOBER 1969	PAGE 10
DIG DIG DIG DIG DIG DIG	MAN DIGGING	130	OCTOBER 1969	PAGE 10
DIK DIK, DIK DAKDIK DAKKADAK DIKKA DAKKA	TYPIST TYPING ON A COMPUTER KEYPAD	258	OCT 1985	PAGE 24
DIKKA DIK DEEP DABWAK DOOTBWEET DAKKITYDAK OONT GIKKADIK DIK DOKKA DAK DEEP	CASEY WORKING LABORIOUSLY ON THE COMPUTER	258	OCT 1985	PAGE 31
DING	ELEVATOR DOOR ABOUT TO CLOSE	237	MARCH 1983	PAGE 39
DING	TELEPHONE FALLING	272	JULY 1987	PAGE 43
DING (13 TIMES)	AIRPORT METAL DETECTOR GOING OFF	224	JULY 1981	PAGE 14
DING DING DING DING DING	SPIDERMAN GETTING WEB FLUID AT PUMP	212	JAN 1980	PAGE 14
DING DING DING DING DING DING DING DING	MAN WITH ALARM CLOCK IN STOMACH BEING SWATTED OUT A WINDOW	61	MARCH 1961	PAGE 9
DING DING DING DING DING DING DING DING	AIRPORT METAL DETECTOR GOING OFF	224	JULY 1981	PAGE 14
DING DING DING DING DING DING DING DING DING	MAN FILLING HIMSELF UP WITH AIR	180	JAN 1976	PAGE 20
DING DING DING DING DING DING DING DING DING DING	ALARM CLOCK AND CLOCK BEING SWATTED OUT OF A HIGH-RISE APARTMENT WINDOW	61	MARCH 1961	PAGE 8
DING DING DING DING DING DING DING DING DING DING DING DING DING DING	ALARM CLOCK	265	SEPTEMBER 1986	PAGE 32
DING DING DING DING DING DING DING GLUK	ALARM CLOCK FALLING AND DOWN INTO A YAWNING MAN'S THROAT	61	MARCH 1961	PAGE 9
DINGALINA DINGALINGA	DOOMS DAY MAN RINGING A BELL	223	JUNE 1981	PAGE 11
DINGALINGA	CANNIBAL RINGING A BELL	252	JAN 1985	PAGE 23
DINK DINK DINK DINK	TIP-TOEING	90	OCT 1964	PAGE 10
DINK-DINK-DINK-DINK	TIPTOEING INDIAN IN A BUSH DISGUISE	96	JULY 1965	PAGE 36
DIT	FLYING HAT BOUNCING OFF HEAD	177	SEPT 1975	PAGE 14
DIT DIT	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
DIT DIT DIT DIT DIT	EYE ROLLING ACROSS THE STREET	140	JANUARY 1971	PAGE 31
DIT DIT DIT DIT DIT	EYE BOUNCING ACROSS ROAD	140	JAN 1971	PAGE 31
DIT-CLUNK	FISH HITTING GREEN AND HOLE	125	MARCH 1969	PAGE 13
DOINK DOINK DOINK DOINK	TIPTOEING HORSE AND RIDER IN A TREE DISGUISE	96	JULY 1965	PAGE 36
DOIP	EYE POPPING OUT	140	JAN 1971	PAGE 31
DOIP!	EYE POPPING OUT OF EYE SOCKET	140	JANUARY 1971	PAGE 31
DOMP DOMP DOMP	TONTO COUNTING BY TAPPING GROUND	216	JULY 1980	PAGE 16
DONG	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
DON'T WALK	GENTEEL BEN LOOKING AT FEMALE BEAR	122	OCTOBER 1968	PAGE 8
DOOBA DOOBA DEEBE DEEBE (REPEAT 4 TIMES)	A DRUM BEATEN RESPONSE TO THE DISTANT MESSAGE	90	OCT 1964	PAGE 48
DOOBADOOBADOOBA	TARZAN BEATING HIS CHEST	245	MARCH 1984	PAGE 42
DOODLE	HUMAN ORGAN MUSIC	273	SEPTEMBER 1987	PAGE 13
DOONT	MAN HITTING POLE	120	JULY 1968	INSIDE FRONT COVER
DOONT	WINE BOTTLE BOUNCES OFF FOREHEAD	SPECIAL #23	1977	BONUS INSERT STICKERS
DOOOT	LUNCHTIME WORK WHISTLE	244	JAN 1984	BACK COVER
DOOP	FOOD FALLING OUT OF MAN'S MOUTH	268	JANUARY 1987	PAGE 42
DOOT	DOCTOR HITTING PATIENT'S KNEE WITH SMALL HAMMER	182	APR 1976	PAGE 48
DRIPPLE BLIT	DRIPPING SOUP FROM SPOON INTO SOUP BOWL	161	SEPT 1973	PAGE 48
DUBBA DUBBA DUBBA	TARZAN BEATING CHEST	183	JUN 1976	PAGE 11
ECCH YAACH BARF GAHORK	ANDY CAPP DRINKING WATER BY MISTAKE	210	OCT 1979	PAGE 23
ECK!	MAN ESCAPING FROM THE DUNGEON	261	MARCH 1986	PAGE 42
ECKECK!	DOG WITH A TIC	198	APR 1978	PAGE 11
EEAHEEAHEEAHEEAHEEAH	TARZAN'S DISTRESS CALL	248	JULY 1984	PAGE 9
EECH	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
EEEAAAGH!!	SOUND PERSON MAKES WHEN CAT BITES OFF THEIR TONGUE	159	JUN 1973	PAGE 27
EEEEEEEEEEEEEEEEE	CAR SCREAMING ITS ARRIVAL	95	JUNE 1965	PAGE 28
FABA DABA ZAP	ELECTODESDELIVERING 400000 VOLTS	165	MARCH 1974	PAGE 23
FABADAP	COWS UDDER MOVING AGAIN	101	MAR 66	PAGE 26
FAGROON KLUBBLE KLUBBLE	FOOD MART FALLING DOWN	115	DEC 67	PAGE 14
FAGROOOSH SHUSSHH SHPISHLE FROOM	A SEA SHELL	226	OCT 1981	PAGE 16
FAGWOOSH SHOSSH GOOGLOOOM FUSH	A SEA SHELL	226	OCT 1981	PAGE 14
FAP	A HUGE EXTENSION ARM LAUNCHED BOXING GLOVE HITTING A DOCTOR IN THE FACE	70	APRIL 1962	PAGE 10
